vertex angle,acceptance,stat_err
3.025,0.000239567,0.000138202
3.075,8.38253e-05,8.40648e-05
3.125,0.000796331,0.000265637
3.175,0.000749985,0.000265107
3.225,0.000774516,0.000273768
3.275,0.000405142,0.000202257
3.325,0.00105799,0.000334043
3.375,0.00111614,0.000352371
3.425,0.00175775,0.000453977
3.475,0.00144772,0.00041828
3.525,0.00198102,0.000496399
3.575,0.0035764,0.000687197
3.625,0.00426822,0.000765229
3.675,0.00623518,0.000948207
3.725,0.009095,0.00117009
3.775,0.0120996,0.00135501
3.825,0.0220905,0.00188142
3.875,0.032244,0.00230725
3.925,0.0381384,0.00254055
3.975,0.0485488,0.00288876
4.025,0.0680438,0.00345258
4.075,0.0841743,0.00387772
4.125,0.110532,0.00441817
4.175,0.13706,0.00493964
4.225,0.150012,0.005312
4.275,0.185031,0.00576785
4.325,0.187474,0.00598286
4.375,0.21115,0.00635648
4.425,0.238845,0.00663404
4.475,0.271243,0.00726251
4.525,0.270341,0.00730688
4.575,0.288674,0.00759213
4.625,0.302895,0.00790871
4.675,0.312952,0.00803217
4.725,0.304222,0.00800937
4.775,0.305129,0.00823371
4.825,0.301647,0.00810247
4.875,0.312752,0.00840892
4.925,0.295511,0.00843847
4.975,0.30678,0.00855391
5.025,0.293791,0.00876801
5.075,0.296745,0.00897158
5.125,0.27891,0.00867805
5.175,0.292477,0.00922332
5.225,0.309862,0.00926579
5.275,0.272307,0.00917538
5.325,0.298162,0.00955374
5.375,0.279857,0.00953973
5.425,0.281733,0.00969976
5.475,0.273427,0.00954025
5.525,0.257958,0.00959151
5.575,0.248175,0.00972314
5.625,0.273567,0.0101583
5.675,0.244997,0.00983903
5.725,0.231689,0.00988236
5.775,0.224737,0.00987247
5.825,0.196246,0.0095216
5.875,0.183269,0.00915784
5.925,0.136197,0.00836153
5.975,0.137767,0.00854553
6.025,0.127834,0.00856778
6.075,0.0960737,0.00733123
6.125,0.0751022,0.00685608
6.175,0.0431258,0.00523521
6.225,0.0632418,0.00641222
6.275,0.039902,0.00522401
6.325,0.0283686,0.00459449
6.375,0.021249,0.00404559
6.425,0.0134748,0.00324442
6.475,0.00564299,0.00212909
6.525,0.00759026,0.00239177
6.575,0.0016865,0.00118365
6.625,0.00421586,0.00187599
6.675,0,0
6.725,0.000844257,0.000844499
6.775,0.0035674,0.0017825
6.825,0.000910765,0.00090791
6.875,0.00292935,0.00168734
6.925,0,0
6.975,0,0
7.025,0,0
7.075,0,0
7.125,0,0
7.175,0,0
7.225,0,0
7.275,0,0
7.325,0,0
7.375,0,0
7.425,0,0
7.475,0,0
7.525,0,0
7.575,0,0
7.625,0,0
7.675,0.00143224,0.00143147
7.725,0,0
7.775,0,0
7.825,0,0
7.875,0,0
7.925,0,0
7.975,0,0
