vertex angle,acceptance,stat_err
3.025,0.000461583,0.000266279
3.075,0.000161509,0.000161971
3.125,0.00153432,0.000511812
3.175,0.00144502,0.000510792
3.225,0.00149229,0.00052748
3.275,0.000780602,0.000389697
3.325,0.00203847,0.000643613
3.375,0.00215051,0.000678926
3.425,0.00338673,0.000874695
3.475,0.00278938,0.000805916
3.525,0.0038169,0.00095643
3.575,0.00689079,0.00132405
3.625,0.00822374,0.0014744
3.675,0.0120136,0.00182695
3.725,0.0175237,0.00225446
3.775,0.0233128,0.00261075
3.825,0.0425626,0.00362501
3.875,0.0621258,0.00444547
3.925,0.0734827,0.00489497
3.975,0.0935408,0.00556588
4.025,0.131103,0.00665222
4.075,0.162182,0.00747136
4.125,0.212967,0.00851266
4.175,0.26408,0.00951739
4.225,0.289035,0.0102348
4.275,0.356506,0.0111131
4.325,0.361213,0.0115274
4.375,0.40683,0.0122473
4.425,0.460192,0.0127821
4.475,0.522613,0.013993
4.525,0.520875,0.0140784
4.575,0.556198,0.014628
4.625,0.5836,0.015238
4.675,0.602977,0.0154759
4.725,0.586156,0.0154319
4.775,0.587904,0.0158642
4.825,0.581195,0.0156113
4.875,0.602591,0.0162018
4.925,0.569373,0.0162587
4.975,0.591084,0.0164811
5.025,0.566058,0.0168937
5.075,0.571749,0.0172859
5.125,0.537386,0.0167203
5.175,0.563526,0.0177709
5.225,0.597022,0.0178528
5.275,0.524664,0.0176786
5.325,0.57448,0.0184075
5.375,0.539212,0.0183806
5.425,0.542826,0.0186889
5.475,0.526822,0.0183816
5.525,0.497018,0.0184803
5.575,0.478168,0.0187339
5.625,0.527091,0.0195725
5.675,0.472046,0.0189572
5.725,0.446404,0.0190407
5.775,0.43301,0.0190217
5.825,0.378114,0.0183456
5.875,0.353112,0.0176448
5.925,0.262415,0.0161105
5.975,0.265441,0.016465
6.025,0.246303,0.0165079
6.075,0.185109,0.0141254
6.125,0.144702,0.0132099
6.175,0.0830922,0.0100869
6.225,0.12185,0.0123547
6.275,0.0768808,0.0100653
6.325,0.0546588,0.00885237
6.375,0.0409412,0.0077948
6.425,0.0259625,0.00625116
6.475,0.0108726,0.00410221
6.525,0.0146244,0.00460832
6.575,0.00324944,0.00228058
6.625,0.00812286,0.00361454
6.675,0,0
6.725,0.00162666,0.00162713
6.775,0.00687345,0.00343442
6.825,0.0017548,0.00174931
6.875,0.00564409,0.00325106
6.925,0,0
6.975,0,0
7.025,0,0
7.075,0,0
7.125,0,0
7.175,0,0
7.225,0,0
7.275,0,0
7.325,0,0
7.375,0,0
7.425,0,0
7.475,0,0
7.525,0,0
7.575,0,0
7.625,0,0
7.675,0.00275955,0.00275807
7.725,0,0
7.775,0,0
7.825,0,0
7.875,0,0
7.925,0,0
7.975,0,0
