vertex angle,acceptance,stat_err
3.025,0.000555561,0.000209765
3.075,0.000496642,0.00020274
3.125,0.000261769,0.000151093
3.175,0.000280786,0.000161556
3.225,0.00058065,0.000237295
3.275,0.000989921,0.00031312
3.325,0.00115814,0.000349793
3.375,0.00134767,0.000387736
3.425,0.00129539,0.000390179
3.475,0.00132192,0.000398442
3.525,0.00175287,0.000469192
3.575,0.00218255,0.000528493
3.625,0.00313204,0.00065248
3.675,0.00461523,0.000827755
3.725,0.0057002,0.000934609
3.775,0.012669,0.0013993
3.825,0.01558,0.0015875
3.875,0.0208583,0.00186152
3.925,0.0282263,0.00223005
3.975,0.0399848,0.00265384
4.025,0.0544814,0.00312268
4.075,0.07747,0.00376952
4.125,0.0889946,0.00398923
4.175,0.10704,0.00448566
4.225,0.132815,0.00494408
4.275,0.168353,0.00558433
4.325,0.180655,0.00596531
4.375,0.198806,0.00622426
4.425,0.207315,0.00638831
4.475,0.236496,0.00697007
4.525,0.250028,0.00721653
4.575,0.258805,0.0071527
4.625,0.277611,0.00763218
4.675,0.278913,0.00764103
4.725,0.27862,0.00782133
4.775,0.300376,0.00827698
4.825,0.300921,0.00806182
4.875,0.307881,0.0083195
4.925,0.303256,0.0085838
4.975,0.300231,0.00853732
5.025,0.297724,0.00876302
5.075,0.304951,0.00909609
5.125,0.288394,0.0087563
5.175,0.289275,0.00917083
5.225,0.292558,0.00918399
5.275,0.278215,0.00918608
5.325,0.27495,0.00943448
5.375,0.279928,0.0097198
5.425,0.278652,0.00955032
5.475,0.260585,0.00939546
5.525,0.266473,0.00978456
5.575,0.24841,0.00958407
5.625,0.263788,0.010042
5.675,0.243309,0.00981601
5.725,0.231073,0.00972757
5.775,0.207882,0.00972079
5.825,0.20367,0.00967179
5.875,0.186915,0.00915126
5.925,0.165262,0.00915278
5.975,0.147025,0.00864351
6.025,0.113147,0.00798489
6.075,0.100782,0.00762241
6.125,0.0724739,0.00668382
6.175,0.0585379,0.00616571
6.225,0.0508839,0.00579756
6.275,0.0449524,0.00549504
6.325,0.0201632,0.00391534
6.375,0.0195518,0.00395791
6.425,0.017114,0.00353795
6.475,0.00801669,0.00252246
6.525,0.00548348,0.00207157
6.575,0.00419203,0.00186456
6.625,0.00175978,0.00124251
6.675,0.00171845,0.0012167
6.725,0.00187586,0.00131618
6.775,0.00176154,0.00124156
6.825,0.00091971,0.000925008
6.875,0,0
6.925,0.00100571,0.00100142
6.975,0,0
7.025,0,0
7.075,0.00210688,0.0014893
7.125,0,0
7.175,0,0
7.225,0,0
7.275,0,0
7.325,0,0
7.375,0,0
7.425,0,0
7.475,0,0
7.525,0,0
7.575,0,0
7.625,0,0
7.675,0,0
7.725,0,0
7.775,0,0
7.825,0,0
7.875,0,0
7.925,0,0
7.975,0,0
