vertex angle,acceptance,stat_err
3.025,0.00111251,0.000420053
3.075,0.000994522,0.000405985
3.125,0.000524192,0.000302563
3.175,0.000562274,0.000323514
3.225,0.00116275,0.000475182
3.275,0.00198231,0.000627021
3.325,0.00231918,0.000700458
3.375,0.00269871,0.00077644
3.425,0.00259401,0.000781332
3.475,0.00264714,0.000797879
3.525,0.00351011,0.000939555
3.575,0.00437054,0.0010583
3.625,0.00627189,0.00130659
3.675,0.00924198,0.00165757
3.725,0.0114146,0.00187155
3.775,0.0253697,0.00280209
3.825,0.0311988,0.00317896
3.875,0.0417687,0.00372769
3.925,0.056523,0.00446566
3.975,0.0800693,0.00531429
4.025,0.109099,0.00625314
4.075,0.155133,0.00754844
4.125,0.178211,0.00798842
4.175,0.214347,0.00898252
4.225,0.265961,0.0099005
4.275,0.337127,0.0111826
4.325,0.36176,0.0119455
4.375,0.398108,0.012464
4.425,0.415147,0.0127926
4.475,0.473582,0.0139575
4.525,0.500679,0.0144511
4.575,0.518255,0.0143232
4.625,0.555914,0.0152834
4.675,0.558522,0.0153011
4.725,0.557935,0.0156622
4.775,0.601502,0.0165746
4.825,0.602592,0.0161437
4.875,0.616531,0.0166598
4.925,0.607268,0.017189
4.975,0.601211,0.0170959
5.025,0.596191,0.0175479
5.075,0.610662,0.0182149
5.125,0.577508,0.0175344
5.175,0.579271,0.0183645
5.225,0.585846,0.0183909
5.275,0.557124,0.0183951
5.325,0.550586,0.0188925
5.375,0.560554,0.0194639
5.425,0.557999,0.0191245
5.475,0.521819,0.0188144
5.525,0.533611,0.0195935
5.575,0.497439,0.019192
5.625,0.528235,0.0201091
5.675,0.487225,0.0196565
5.725,0.462722,0.0194794
5.775,0.416283,0.0194658
5.825,0.407847,0.0193677
5.875,0.374297,0.0183254
5.925,0.330937,0.0183284
5.975,0.294416,0.0173086
6.025,0.226577,0.0159897
6.075,0.201816,0.0152638
6.125,0.145129,0.0133843
6.175,0.117222,0.0123468
6.225,0.101895,0.0116096
6.275,0.0900169,0.0110038
6.325,0.0403768,0.00784045
6.375,0.0391524,0.00792569
6.425,0.0342708,0.00708473
6.475,0.0160534,0.00505121
6.525,0.0109806,0.00414831
6.575,0.00839451,0.00373378
6.625,0.00352394,0.00248812
6.675,0.00344119,0.00243643
6.725,0.00375641,0.00263565
6.775,0.00352747,0.00248622
6.825,0.00184171,0.00185232
6.875,0,0
6.925,0.00201394,0.00200535
6.975,0,0
7.025,0,0
7.075,0.00421901,0.00298231
7.125,0,0
7.175,0,0
7.225,0,0
7.275,0,0
7.325,0,0
7.375,0,0
7.425,0,0
7.475,0,0
7.525,0,0
7.575,0,0
7.625,0,0
7.675,0,0
7.725,0,0
7.775,0,0
7.825,0,0
7.875,0,0
7.925,0,0
7.975,0,0
